Fichier,ID_Paragraphe,Présence,1er Mot (Entrée),1er Mot (Sortie),Dernier Mot (Entrée),Dernier Mot (Sortie),Nb mots (Entrée),Nb mots (Sortie),Nb mots Identique,Nb balises (Entrée),Nb balises (Sortie),Nb balises Identique
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p674,OK,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/e895161cc7c3211e2801df8b0cf4ec971ba31ded,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/e895161cc7c3211e2801df8b0cf4ec971ba31ded,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/e895161cc7c3211e2801df8b0cf4ec971ba31ded,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/e895161cc7c3211e2801df8b0cf4ec971ba31ded,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p675,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p543,OK,",",",",Pedro,Pedro,5,5,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p668,OK,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/b6012393df6e85df23de70983f5cea9c0125ad61,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/b6012393df6e85df23de70983f5cea9c0125ad61,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/b6012393df6e85df23de70983f5cea9c0125ad61,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/b6012393df6e85df23de70983f5cea9c0125ad61,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p60,OK,CH_BO_01a-3-,CH_BO_01a-3-,CH_BO_01a-3-,CH_BO_01a-3-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p833,OK,Imagen,Imagen,años.,años.,39,39,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p38,OK,CH_BO_01.,CH_BO_01.,r°..,r°..,50,50,Oui,15,15,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p436,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p193,OK,CH_BO_02b.,CH_BO_02b.,v°..,v°..,89,89,Oui,24,25,Non
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p700,OK,CH_BO_09-10-17-,CH_BO_09-10-17-,CH_BO_09-10-17-,CH_BO_09-10-17-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p264,OK,CH_BO_03.,CH_BO_03.,134..,134..,104,104,Oui,34,34,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p578,OK,En,En,apostolico,apostolico,231,231,Oui,1,1,Oui
