Fichier,ID_Paragraphe,Présence,1er Mot (Entrée),1er Mot (Sortie),Dernier Mot (Entrée),Dernier Mot (Sortie),Nb mots (Entrée),Nb mots (Sortie),Nb mots Identique,Nb balises (Entrée),Nb balises (Sortie),Nb balises Identique
semtags_2combiné_T2 clj. San Pedro_clean.xml,p846,OK,Deux,Deux,1490.,1490.,23,23,Oui,4,4,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p504,OK,CH_BO_06-6-,CH_BO_06-6-,CH_BO_06-6-,CH_BO_06-6-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p679,OK,CH_BO_09-10-8-,CH_BO_09-10-8-,CH_BO_09-10-8-,CH_BO_09-10-8-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p854,OK,CH_BO_12.,CH_BO_12.,r°..,r°..,108,108,Oui,31,31,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p864,OK,CH_BO_12.,CH_BO_12.,mod.)..,mod.)..,136,136,Oui,36,36,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p246,OK,Diego,Diego,carpintero,carpintero,5,5,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p770,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p576,OK,Las,Las,iglesia.,iglesia.,38,38,Oui,5,5,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p321,OK,CH_BO_04+,CH_BO_04+,v°.,v°.,48,48,Oui,10,10,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p483,OK,CH_BO_06b.,CH_BO_06b.,v°..,v°..,90,90,Oui,25,25,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p296,OK,[côté,[côté,v°/,v°/,57,57,Oui,5,5,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p709,OK,OF,OF,356bis,356bis,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p299,OK,fallose,fallose,apostolico.,apostolico.,413,413,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p179,OK,(En,(En,Alvarez.,Alvarez.,9,9,Oui,7,7,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p665,OK,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/522e26a5e68a0b928137d3f32f5f9c9cefd06ebf,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/522e26a5e68a0b928137d3f32f5f9c9cefd06ebf,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/522e26a5e68a0b928137d3f32f5f9c9cefd06ebf,https://api.nakala.fr/embed/10.34847/nkl.fdcfcx7f/522e26a5e68a0b928137d3f32f5f9c9cefd06ebf,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p798,OK,CH_BO_11.,CH_BO_11.,r°..,r°..,60,60,Oui,14,14,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p738,OK,CH_AO_10.,CH_AO_10.,r°..,r°..,84,84,Oui,21,21,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p538,OK,OF,OF,356,356,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p678,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
